scenario,year,mean,low,high
ssp245,2066,289.80827262530175,289.5001251134142,290.289132151585
ssp245,2067,289.89530947941256,289.7096124279047,290.24649643360806
ssp245,2068,289.84338535251305,289.40970196023517,290.2564375619982
ssp245,2069,289.93762981374715,289.5060464153042,290.35613108815033
ssp245,2070,289.9727389655631,289.596604972187,290.3327145672729
ssp245,2071,290.027906781496,289.72597227882983,290.300997794565
ssp245,2072,289.9615578809166,289.5827801602304,290.3249572961648
ssp245,2073,289.90540433372826,289.42127373110833,290.32798283830647
ssp245,2074,289.98357082194923,289.5380493322198,290.37533480287374
ssp245,2075,290.03764527842606,289.6968107785844,290.3801328663468
ssp245,2076,290.05731991018024,289.68506031030137,290.4119918728822
ssp245,2077,290.00573619091466,289.57348108652434,290.4678841558607
ssp245,2078,290.0542672455395,289.84050429263215,290.4789556096171
ssp245,2079,290.19209236750794,289.7822395907657,290.60909977603495
ssp245,2080,290.1064789937173,289.5954076467549,290.5923592602044
ssp245,2081,290.10378307933564,289.69664258450115,290.43207158672584
ssp245,2082,290.08140676067046,289.68000367399713,290.5176999680618
ssp245,2083,290.1884415295148,289.8742619644051,290.470267050862
ssp245,2084,290.1855596821869,289.8156875571464,290.56752892538776
ssp245,2085,290.17584329185644,289.7257919170613,290.5248354023467
ssp245,2086,290.2184856824542,289.76143677109445,290.6737839070831
ssp245,2087,290.2108778963027,289.61813658765846,290.68834210734445
ssp245,2088,290.19473149827604,289.6108335376049,290.6955081794504
ssp245,2089,290.2915556894438,289.78484564547983,290.7667825116768
ssp245,2090,290.30834259558543,289.8987776781731,290.71995574295005
ssp245,2091,290.2839420039411,289.7041654584723,290.7726374922762
ssp245,2092,290.3329206263041,289.80819739643607,290.8337196876758
ssp245,2093,290.3796610936151,290.1301226097835,290.6358277552806
ssp245,2094,290.30599941508916,289.96145470385835,290.62374247174927
ssp245,2095,290.3663263923867,289.8846408093064,290.8108849207502
ssp245,2096,290.42179457082875,289.8752196500214,290.85726892831804
ssp245,2097,290.3532908271173,289.8986186471931,290.7948156897583
ssp245,2098,290.30909576082644,289.72906638108276,290.739089304823
ssp245,2099,290.323324719405,289.7424517739713,290.73764974468793
ssp245,2100,290.3128339448388,289.6714983163819,290.79666955409544
ssp370,2015,288.1992801478994,288.0273870745383,288.5103315963292
ssp370,2016,288.36991159798913,288.14012590109775,288.63929482515
ssp370,2017,288.3391270842031,288.1209076008143,288.67572076043746
